"filename", "language", "TypeScript", "SCSS", "TypeScript JSX", "XML", "JSON with Comments", "JSON", "JavaScript", "Markdown", "HTML", "CSS", "Properties", "comment", "blank", "total"
"/Users/suldemkhirlig-ool/Desktop/yurta/yurta_app_admin/src/shared/components/details/ui/form.tsx", "TypeScript JSX", 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 14
"/Users/suldemkhirlig-ool/Desktop/yurta/yurta_app_admin/src/shared/components/details/ui/index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/suldemkhirlig-ool/Desktop/yurta/yurta_app_admin/src/shared/components/form/model/interface.ts", "TypeScript", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6
"/Users/suldemkhirlig-ool/Desktop/yurta/yurta_app_admin/src/shared/components/form/ui/datetime-input.tsx", "TypeScript JSX", 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5, 41
"/Users/suldemkhirlig-ool/Desktop/yurta/yurta_app_admin/src/shared/components/pagination/index.tsx", "TypeScript JSX", 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 38
"/Users/suldemkhirlig-ool/Desktop/yurta/yurta_app_admin/src/shared/components/table/model/interface.ts", "TypeScript", 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 20
"/Users/suldemkhirlig-ool/Desktop/yurta/yurta_app_admin/src/shared/components/table/ui/header/index.tsx", "TypeScript JSX", 0, 0, 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 49
"/Users/suldemkhirlig-ool/Desktop/yurta/yurta_app_admin/src/shared/components/table/ui/index.tsx", "TypeScript JSX", 0, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 11, 5, 78
"/Users/suldemkhirlig-ool/Desktop/yurta/yurta_app_admin/src/shared/components/table/ui/t-keys/index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/suldemkhirlig-ool/Desktop/yurta/yurta_app_admin/src/shared/components/table/ui/t-keys/object-keys.tsx", "TypeScript JSX", 0, 0, 52, 0, 0, 0, 0, 0, 0, 0, 0, 21, 9, 82
"/Users/suldemkhirlig-ool/Desktop/yurta/yurta_app_admin/src/shared/components/table/ui/t-row/index.tsx", "TypeScript JSX", 0, 0, 66, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10, 77
"/Users/suldemkhirlig-ool/Desktop/yurta/yurta_app_admin/src/shared/components/table/ui/t-row/typed-rows/array.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/suldemkhirlig-ool/Desktop/yurta/yurta_app_admin/src/shared/components/table/ui/t-row/typed-rows/date.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/suldemkhirlig-ool/Desktop/yurta/yurta_app_admin/src/shared/components/table/ui/t-row/typed-rows/number.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/suldemkhirlig-ool/Desktop/yurta/yurta_app_admin/src/shared/components/table/ui/t-row/typed-rows/object.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/suldemkhirlig-ool/Desktop/yurta/yurta_app_admin/src/shared/components/table/ui/t-row/typed-rows/string.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/suldemkhirlig-ool/Desktop/yurta/yurta_app_admin/src/shared/directus/model/interface.ts", "TypeScript", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"/Users/suldemkhirlig-ool/Desktop/yurta/yurta_app_admin/src/shared/layouts/layout/details-layout/index.tsx", "TypeScript JSX", 0, 0, 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 39
